ID,Low Level Name,Mid Level Name,High Level Name,DC Number,DC Group Name
1100,Agricultural and Biological Sciences(all),Agricultural and Biological Sciences,Life Sciences,7.23.01,Agricultural Science
1101,Agricultural and Biological Sciences (miscellaneous),Agricultural and Biological Sciences,Life Sciences,7.23.01,Agricultural Science
1102,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,7.23.02,Agronomy and Crop Sciences
1103,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences,7.02.00,Animal Sciences
1104,Aquatic Science,Agricultural and Biological Sciences,Life Sciences,7.09.05,Terrestrial and Aquatic Ecology
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,7.09.00,Ecology and Evolutionary Biology
1106,Food Science,Agricultural and Biological Sciences,Life Sciences,7.11.00,Food Science
1107,Forestry,Agricultural and Biological Sciences,Life Sciences,7.12.02,Forest Management
1108,Horticulture,Agricultural and Biological Sciences,Life Sciences,7.23.06,Horticulture
1109,Insect Science,Agricultural and Biological Sciences,Life Sciences,7.10.01,Entomology
1110,Plant Science,Agricultural and Biological Sciences,Life Sciences,7.23.00,Plant Sciences
1111,Soil Science,Agricultural and Biological Sciences,Life Sciences,9.05.13,Soil Science
1200,Arts and Humanities(all),Arts and Humanities,Social Sciences,2.00.00,Arts and Humanities
1201,Arts and Humanities (miscellaneous),Arts and Humanities,Social Sciences,2.49.01,Other Arts and Humanities
1202,History,Arts and Humanities,Social Sciences,2.23.00,History
1203,Language and Linguistics,Arts and Humanities,Social Sciences,10.15.00,Linguistics
1204,Archaeology,Arts and Humanities,Social Sciences,2.24.00,"History of Art, Architecture, and Archaeology"
1205,Classics,Arts and Humanities,Social Sciences,2.10.00,Classics
1206,Conservation,Arts and Humanities,Social Sciences,2.04.01,Art and Materials Conservation
1207,History and Philosophy of Science,Arts and Humanities,Social Sciences,2.35.12,Philosophy of Science
1208,Literature and Literary Theory,Arts and Humanities,Social Sciences,2.16.00,English Language and Literature
1209,Museology,Arts and Humanities,Social Sciences,2.31.01,Museum Studies
1210,Music,Arts and Humanities,Social Sciences,2.32.00,Music
1211,Philosophy,Arts and Humanities,Social Sciences,2.35.00,Philosophy
1212,Religious studies,Arts and Humanities,Social Sciences,2.40.00,Religion
1213,Visual Arts and Performing Arts,Arts and Humanities,Social Sciences,2.48.00,Theatre and Performance Studies
1300,"Biochemistry, Genetics and Molecular Biology(all)","Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.01,Biochemistry
1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)","Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.01,Biochemistry
1302,Ageing,"Biochemistry, Genetics and Molecular Biology",Life Sciences,10.23.10,Gerontology
1303,Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.01,Biochemistry
1304,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.02,Biophysics
1305,Biotechnology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.07.01,Biotechnology
1306,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,8.15.19,Oncology
1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.08.03,Cell Biology
1308,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.00,"Biochemistry, Biophysics, and Structural Biology"
1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.08.04,Developmental Biology
1310,Endocrinology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.22.03,Endocrinology
1311,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.13.02,Genetics
1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.03,Molecular Biology
1313,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology",Life Sciences,8.14.18,Medical Molecular Biology
1314,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.22.00,Physiology
1315,Structural Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,7.03.04,Structural Biology
1400,"Business, Management and Accounting(all)","Business, Management and Accounting",Social Sciences,3.05.01,"Business Administration, Management, and Operations"
1401,"Business, Management and Accounting (miscellaneous)","Business, Management and Accounting",Social Sciences,3.05.01,"Business Administration, Management, and Operations"
1402,Accounting,"Business, Management and Accounting",Social Sciences,3.01.01,Accounting
1403,Business and International Management,"Business, Management and Accounting",Social Sciences,3.17.01,International Business
1404,Management Information Systems,"Business, Management and Accounting",Social Sciences,3.19.01,Management Information Systems
1405,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences,3.32.01,Technology and Innovation
1406,Marketing,"Business, Management and Accounting",Social Sciences,3.21.00,Marketing
1407,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,3.24.01,Organizational Behavior and Theory
1408,Strategy and Management,"Business, Management and Accounting",Social Sciences,3.30.01,Strategic Management Policy
1409,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting",Social Sciences,3.33.01,Tourism and Travel
1410,Industrial relations,"Business, Management and Accounting",Social Sciences,3.18.02,International and Comparative Labor Relations
1500,Chemical Engineering(all),Chemical Engineering,Physical Sciences,5.06.00,Chemical Engineering
1501,Chemical Engineering (miscellaneous),Chemical Engineering,Physical Sciences,5.06.10,Other Chemical Engineering
1502,Bioengineering,Chemical Engineering,Physical Sciences,5.04.03,Biological Engineering
1503,Catalysis,Chemical Engineering,Physical Sciences,5.06.02,Catalysis and Reaction Engineering
1504,Chemical Health and Safety,Chemical Engineering,Physical Sciences,5.06.10,Other Chemical Engineering
1505,Colloid and Surface Chemistry,Chemical Engineering,Physical Sciences,5.06.10,Other Chemical Engineering
1506,Filtration and Separation,Chemical Engineering,Physical Sciences,5.06.03,Complex Fluids
1507,Fluid Flow and Transfer Processes,Chemical Engineering,Physical Sciences,9.09.06,Fluid Dynamics
1508,Process Chemistry and Technology,Chemical Engineering,Physical Sciences,5.06.07,Process Control and Systems
1600,Chemistry(all),Chemistry,Physical Sciences,9.03.00,Chemistry
1601,Chemistry (miscellaneous),Chemistry,Physical Sciences,9.03.10,Other Chemistry
1602,Analytical Chemistry,Chemistry,Physical Sciences,9.03.01,Analytical Chemistry
1603,Electrochemistry,Chemistry,Physical Sciences,9.03.10,Other Chemistry
1604,Inorganic Chemistry,Chemistry,Physical Sciences,9.03.03,Inorganic Chemistry
1605,Organic Chemistry,Chemistry,Physical Sciences,9.03.06,Organic Chemistry
1606,Physical and Theoretical Chemistry,Chemistry,Physical Sciences,9.03.07,Physical Chemistry
1607,Spectroscopy,Chemistry,Physical Sciences,9.03.10,Other Chemistry
1700,Computer Science(all),Computer Science,Physical Sciences,9.04.00,Computer Sciences
1701,Computer Science (miscellaneous),Computer Science,Physical Sciences,9.04.11,Other Computer Sciences
1702,Artificial Intelligence,Computer Science,Physical Sciences,9.04.01,Artificial Intelligence and Robotics
1703,Computational Theory and Mathematics,Computer Science,Physical Sciences,9.04.10,Theory and Algorithms
1704,Computer Graphics and Computer-Aided Design,Computer Science,Physical Sciences,9.04.04,Graphics and Human Computer Interfaces
1705,Computer Networks and Communications,Computer Science,Physical Sciences,9.04.06,OS and Networks
1706,Computer Science Applications,Computer Science,Physical Sciences,9.04.11,Other Computer Sciences
1707,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,9.04.01,Artificial Intelligence and Robotics
