ID,Low Level Name,Mid Level Name,High Level Name,DC Number,DC Group Name
0,Agronomy & Agriculture,"Agriculture, Fisheries & Forestry",Applied Sciences,7.23.02,Agronomy and Crop Sciences
0,Dairy & Animal Science,"Agriculture, Fisheries & Forestry",Applied Sciences,7.02.02,Dairy Science
0,Fisheries,"Agriculture, Fisheries & Forestry",Applied Sciences,7.02.01,Aquaculture and Fisheries
0,Food Science,"Agriculture, Fisheries & Forestry",Applied Sciences,7.11.00,Food Science
0,Forestry,"Agriculture, Fisheries & Forestry",Applied Sciences,7.12.02,Forest Management
0,Horticulture,"Agriculture, Fisheries & Forestry",Applied Sciences,7.23.06,Horticulture
0,Veterinary Sciences,"Agriculture, Fisheries & Forestry",Applied Sciences,8.27.00,Veterinary Medicine
0,Architecture,Built Environment & Design,Applied Sciences,1.00.00,Architecture
0,Building & Construction,Built Environment & Design,Applied Sciences,1.04.01,Construction Engineering
0,Design Practice & Management,Built Environment & Design,Applied Sciences,2.04.09,Industrial and Product Design
0,Urban & Regional Planning,Built Environment & Design,Applied Sciences,10.25.01,Urban Studies and Planning
0,Bioinformatics,Enabling & Strategic Technologies,Applied Sciences,7.05.01,Bioinformatics
0,Biotechnology,Enabling & Strategic Technologies,Applied Sciences,7.07.01,Biotechnology
0,Energy,Enabling & Strategic Technologies,Applied Sciences,5.10.07,Power and Energy
0,Materials,Enabling & Strategic Technologies,Applied Sciences,5.12.00,Engineering Science and Materials
0,Nanoscience & Nanotechnology,Enabling & Strategic Technologies,Applied Sciences,5.16.01,Nanoscience and Nanotechnology
0,Optoelectronics & Photonics,Enabling & Strategic Technologies,Applied Sciences,5.10.04,Electromagnetics and Photonics
0,"Strategic, Defence & Security Studies",Enabling & Strategic Technologies,Applied Sciences,10.19.01,Defense and Security Studies
0,Aerospace & Aeronautics,Engineering,Applied Sciences,5.01.00,Aerospace Engineering
0,Automobile Design & Engineering,Engineering,Applied Sciences,5.02.01,Automotive Engineering
0,Biomedical Engineering,Engineering,Applied Sciences,5.04.00,Biomedical Engineering and Bioengineering
0,Chemical Engineering,Engineering,Applied Sciences,5.06.00,Chemical Engineering
0,Civil Engineering,Engineering,Applied Sciences,5.07.01,Civil Engineering
0,Electrical & Electronic Engineering,Engineering,Applied Sciences,5.10.03,Electrical and Electronics
0,Environmental Engineering,Engineering,Applied Sciences,5.07.03,Environmental Engineering
0,Geological & Geomatics Engineering,Engineering,Applied Sciences,5.07.04,Geotechnical Engineering
0,Industrial Engineering & Automation,Engineering,Applied Sciences,5.18.02,Industrial Engineering
