Low Level ID,Low Level Name,Mid Level ID,Mid Level Name,High Level ID,High Level Name
"1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.00","Agriculture, General.","01.00","Agriculture, General.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.00.00","Agriculture, General.","01.00","Agriculture, General.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"1.01","Agricultural Business and Management.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.01","Agricultural Business and Management, General.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.02","Agribusiness/Agricultural Business Operations.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.03","Agricultural Economics.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.04","Farm/Farm and Ranch Management.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.05","Agricultural/Farm Supplies Retailing and Wholesaling.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.06","Agricultural Business Technology.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"01.01.99","Agricultural Business and Management, Other.","1.01","Agricultural Business and Management.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
"1.02","Agricultural Mechanization.","1.02","Agricultural Mechanization.","1","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
