ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
101,MATHEMATICAL SCIENCES,PURE MATHEMATICS,N/A,27.01,Mathematics.
102,MATHEMATICAL SCIENCES,APPLIED MATHEMATICS,N/A,27.03,Applied Mathematics.
103,MATHEMATICAL SCIENCES,NUMERICAL AND COMPUTATIONAL MATHEMATICS,N/A,27.03,Applied Mathematics.
104,MATHEMATICAL SCIENCES,STATISTICS,N/A,27.05,Statistics.
105,MATHEMATICAL SCIENCES,MATHEMATICAL PHYSICS,N/A,27.03,Applied Mathematics.
199,MATHEMATICAL SCIENCES,OTHER MATHEMATICAL SCIENCES,N/A,27.99,"Mathematics and Statistics, Other."
201,PHYSICAL SCIENCES,ASTRONOMICAL AND SPACE SCIENCES,N/A,40.02,Astronomy and Astrophysics.
202,PHYSICAL SCIENCES,"ATOMIC, MOLECULAR, NUCLEAR, PARTICLE AND PLASMA PHYSICS ",N/A,40.08,Physics.
203,PHYSICAL SCIENCES,CLASSICAL PHYSICS,N/A,40.08,Physics.
204,PHYSICAL SCIENCES,CONDENSED MATTER PHYSICS,N/A,40.08,Physics.
205,PHYSICAL SCIENCES,OPTICAL PHYSICS,N/A,40.08,Physics.
206,PHYSICAL SCIENCES,QUANTUM PHYSICS,N/A,40.08,Physics.
299,PHYSICAL SCIENCES,OTHER PHYSICAL SCIENCES,N/A,40.99,"Physical Sciences, Other."
301,CHEMICAL SCIENCES,ANALYTICAL CHEMISTRY,N/A,40.05,Chemistry.
302,CHEMICAL SCIENCES,INORGANIC CHEMISTRY,N/A,40.05,Chemistry.
303,CHEMICAL SCIENCES,MACROMOLECULAR AND MATERIALS CHEMISTRY,N/A,40.05,Chemistry.
304,CHEMICAL SCIENCES,MEDICINAL AND BIOMOLECULAR CHEMISTRY,N/A,40.05,Chemistry.
305,CHEMICAL SCIENCES,ORGANIC CHEMISTRY,N/A,40.05,Chemistry.
306,CHEMICAL SCIENCES,PHYSICAL CHEMISTRY (INCL. STRUCTURAL),N/A,40.05,Chemistry.
307,CHEMICAL SCIENCES,THEORETICAL AND COMPUTATIONAL CHEMISTRY,N/A,40.05,Chemistry.
399,CHEMICAL SCIENCES,OTHER CHEMICAL SCIENCES,N/A,40.05,Chemistry.
401,EARTH SCIENCES,ATMOSPHERIC SCIENCES,N/A,40.04,Atmospheric Sciences and Meteorology.
402,EARTH SCIENCES,GEOCHEMISTRY,N/A,40.06,Geological and Earth Sciences/Geosciences.
403,EARTH SCIENCES,GEOLOGY,N/A,40.06,Geological and Earth Sciences/Geosciences.
404,EARTH SCIENCES,GEOPHYSICS,N/A,40.06,Geological and Earth Sciences/Geosciences.
405,EARTH SCIENCES,OCEANOGRAPHY,N/A,40.06,Geological and Earth Sciences/Geosciences.
406,EARTH SCIENCES,PHYSICAL GEOGRAPHY AND ENVIRONMENTAL GEOSCIENCE,N/A,45.07,Geography and Cartography.
499,EARTH SCIENCES,OTHER EARTH SCIENCES,N/A,40.06,Geological and Earth Sciences/Geosciences.
501,ENVIRONMENTAL SCIENCES,ECOLOGICAL APPLICATIONS,N/A,26.13,"Ecology, Evolution, Systematics, and Population Biology."
502,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCE AND MANAGEMENT,N/A,3.01,Natural Resources Conservation and Research.
503,ENVIRONMENTAL SCIENCES,SOIL SCIENCES,N/A,1.12,Soil Sciences.
599,ENVIRONMENTAL SCIENCES,OTHER ENVIRONMENTAL SCIENCES,N/A,3.01,Natural Resources Conservation and Research.
601,BIOLOGICAL SCIENCES,BIOCHEMISTRY AND CELL BIOLOGY,N/A,26.02,"Biochemistry, Biophysics and Molecular Biology."
602,BIOLOGICAL SCIENCES,ECOLOGY,N/A,26.13,"Ecology, Evolution, Systematics, and Population Biology."
603,BIOLOGICAL SCIENCES,EVOLUTIONARY BIOLOGY,N/A,26.13,"Ecology, Evolution, Systematics, and Population Biology."
604,BIOLOGICAL SCIENCES,GENETICS,N/A,26.08,Genetics.
605,BIOLOGICAL SCIENCES,MICROBIOLOGY,N/A,26.05,Microbiological Sciences and Immunology.
606,BIOLOGICAL SCIENCES,PHYSIOLOGY,N/A,26.09,"Physiology, Pathology and Related Sciences."
607,BIOLOGICAL SCIENCES,PLANT BIOLOGY,N/A,26.03,Botany/Plant Biology.
608,BIOLOGICAL SCIENCES,ZOOLOGY,N/A,26.07,Zoology/Animal Biology.
