ID,Low Level Name,MId Level Name,High Level Name,CIP Number,CIP Group Name
2700,Medicine(all),Medicine,Health Sciences,51.12,Medicine.
2701,Medicine (miscellaneous),Medicine,Health Sciences,51.12,Medicine.
2702,Anatomy,Medicine,Health Sciences,26.04,Cell/Cellular Biology and Anatomical Sciences.
2703,Anesthesiology and Pain Medicine,Medicine,Health Sciences,51.12,Medicine.
2704,"Biochemistry, medical",Medicine,Health Sciences,26.02,"Biochemistry, Biophysics and Molecular Biology."
2705,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,51.12,Medicine.
2706,Critical Care and Intensive Care Medicine,Medicine,Health Sciences,51.12,Medicine.
2707,Complementary and alternative medicine,Medicine,Health Sciences,51.33,Alternative and Complementary Medicine and Medical Systems.
2708,Dermatology,Medicine,Health Sciences,51.12,Medicine.
2709,Drug guides,Medicine,Health Sciences,51.20,"Pharmacy, Pharmaceutical Sciences, and Administration."
2710,Embryology,Medicine,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
2711,Emergency Medicine,Medicine,Health Sciences,51.12,Medicine.
2712,"Endocrinology, Diabetes and Metabolism",Medicine,Health Sciences,51.12,Medicine.
2713,Epidemiology,Medicine,Health Sciences,51.12,Medicine.
2714,Family Practice,Medicine,Health Sciences,51.12,Medicine.
2715,Gastroenterology,Medicine,Health Sciences,51.12,Medicine.
2716,Genetics(clinical),Medicine,Health Sciences,26.08,Genetics.
2717,Geriatrics and Gerontology,Medicine,Health Sciences,30.11,Gerontology.
2718,Health Informatics,Medicine,Health Sciences,51.27,Medical Illustration and Informatics.
2719,Health Policy,Medicine,Health Sciences,44.05,Public Policy Analysis.
2720,Hematology,Medicine,Health Sciences,51.12,Medicine.
2721,Hepatology,Medicine,Health Sciences,51.12,Medicine.
2722,Histology,Medicine,Health Sciences,26.04,Cell/Cellular Biology and Anatomical Sciences.
2723,Immunology and Allergy,Medicine,Health Sciences,26.05,Microbiological Sciences and Immunology.
2724,Internal Medicine,Medicine,Health Sciences,51.12,Medicine.
2725,Infectious Diseases,Medicine,Health Sciences,51.12,Medicine.
2726,Microbiology (medical),Medicine,Health Sciences,26.05,Microbiological Sciences and Immunology.
2727,Nephrology,Medicine,Health Sciences,51.12,Medicine.
2728,Clinical Neurology,Medicine,Health Sciences,51.12,Medicine.
2729,Obstetrics and Gynaecology,Medicine,Health Sciences,51.12,Medicine.
2730,Oncology,Medicine,Health Sciences,51.12,Medicine.
2731,Ophthalmology,Medicine,Health Sciences,51.12,Medicine.
2732,Orthopedics and Sports Medicine,Medicine,Health Sciences,51.12,Medicine.
2733,Otorhinolaryngology,Medicine,Health Sciences,51.12,Medicine.
2734,Pathology and Forensic Medicine,Medicine,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
2735,"Pediatrics, Perinatology, and Child Health",Medicine,Health Sciences,51.12,Medicine.
2736,Pharmacology (medical),Medicine,Health Sciences,26.10,Pharmacology and Toxicology.
2737,Physiology (medical),Medicine,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
2738,Psychiatry and Mental health,Medicine,Health Sciences,51.12,Medicine.
2739,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,51.22,Public Health.
2740,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,51.12,Medicine.
2741,Radiology Nuclear Medicine and imaging,Medicine,Health Sciences,51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions."
2742,Rehabilitation,Medicine,Health Sciences,51.23,Rehabilitation and Therapeutic Professions.
2743,Reproductive Medicine,Medicine,Health Sciences,51.12,Medicine.
2744,"Reviews and References, Medical",Medicine,Health Sciences,51.27,Medical Illustration and Informatics.
2745,Rheumatology,Medicine,Health Sciences,51.12,Medicine.
2746,Surgery,Medicine,Health Sciences,51.12,Medicine.
2747,Transplantation,Medicine,Health Sciences,51.12,Medicine.
2748,Urology,Medicine,Health Sciences,51.12,Medicine.
2900,Nursing(all),Nursing,Health Sciences,51.16,Nursing.
2901,Nursing (miscellaneous),Nursing,Health Sciences,51.16,Nursing.
2902,Advanced and Specialised Nursing,Nursing,Health Sciences,51.16,Nursing.
2903,Assessment and Diagnosis,Nursing,Health Sciences,51.16,Nursing.
2904,Care Planning,Nursing,Health Sciences,51.16,Nursing.
2905,Community and Home Care,Nursing,Health Sciences,51.16,Nursing.
2906,Critical Care,Nursing,Health Sciences,51.16,Nursing.
2907,Emergency,Nursing,Health Sciences,51.16,Nursing.
2908,Fundamentals and skills,Nursing,Health Sciences,51.16,Nursing.
2909,Gerontology,Nursing,Health Sciences,30.11,Gerontology.
2910,"Issues, ethics and legal aspects",Nursing,Health Sciences,51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing."
2911,Leadership and Management,Nursing,Health Sciences,51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing."
2912,LPN and LVN,Nursing,Health Sciences,51.16,Nursing.
2913,Maternity and Midwifery,Nursing,Health Sciences,51.16,Nursing.
2914,MedicalÐSurgical,Nursing,Health Sciences,51.16,Nursing.
2915,Nurse Assisting,Nursing,Health Sciences,51.16,Nursing.
2916,Nutrition and Dietetics,Nursing,Health Sciences,19.05,"Foods, Nutrition, and Related Services."
2917,Oncology(nursing),Nursing,Health Sciences,51.16,Nursing.
2918,Pathophysiology,Nursing,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
2919,Pediatrics,Nursing,Health Sciences,51.16,Nursing.
