ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
1.01.01,Analysis,Mathematics,Natural sciences and Mathematics,27.01,Mathematics.
1.01.02,Topology,Mathematics,Natural sciences and Mathematics,27.01,Mathematics.
1.01.03,Numerical and computer mathematics,Mathematics,Natural sciences and Mathematics,30.08,Mathematics and Computer Science.
1.01.04,Algebra,Mathematics,Natural sciences and Mathematics,27.01,Mathematics.
1.01.05,Graph theory,Mathematics,Natural sciences and Mathematics,27.01,Mathematics.
1.01.06,Probability and statistics,Mathematics,Natural sciences and Mathematics,27.05,Statistics.
1.02.01,Physics of condensed matter,Physics,Natural sciences and Mathematics,40.08,Physics.
1.02.02,Theoretical physics,Physics,Natural sciences and Mathematics,40.08,Physics.
1.02.03,Astronomy,Physics,Natural sciences and Mathematics,40.02,Astronomy and Astrophysics.
1.02.04,Meteorology and oceanography,Physics,Natural sciences and Mathematics,40.04,Atmospheric Sciences and Meteorology.
1.02.05,Medium- and high-energy physics,Physics,Natural sciences and Mathematics,40.08,Physics.
1.02.06,Experimental physics of elementary particles,Physics,Natural sciences and Mathematics,40.08,Physics.
1.02.07,Biophysics,Physics,Natural sciences and Mathematics,26.02,"Biochemistry, Biophysics and Molecular Biology."
1.02.08,Medical physics,Physics,Natural sciences and Mathematics,40.08,Physics.
1.03.01,Zoology and zoophysiology,Biology,Natural sciences and Mathematics,26.07,Zoology/Animal Biology.
1.03.02,Botany,Biology,Natural sciences and Mathematics,26.03,Botany/Plant Biology.
1.03.03,Ecosystems,Biology,Natural sciences and Mathematics,26.13,"Ecology, Evolution, Systematics, and Population Biology."
1.03.04,Plant physiology,Biology,Natural sciences and Mathematics,26.03,Botany/Plant Biology.
1.04.01,Physical chemistry,Chemistry,Natural sciences and Mathematics,40.05,Chemistry.
1.04.02,Structural chemistry,Chemistry,Natural sciences and Mathematics,40.05,Chemistry.
1.04.03,Inorganic chemistry,Chemistry,Natural sciences and Mathematics,40.05,Chemistry.
1.04.04,Organic chemistry,Chemistry,Natural sciences and Mathematics,40.05,Chemistry.
1.04.05,Analytical chemistry,Chemistry,Natural sciences and Mathematics,40.05,Chemistry.
1.04.06,Geochemistry,Chemistry,Natural sciences and Mathematics,40.06,Geological and Earth Sciences/Geosciences.
1.05,Biochemistry and molecular biology,Biochemistry and molecular biology,Natural sciences and Mathematics,26.02,"Biochemistry, Biophysics and Molecular Biology."
1.06.01,Mineralogy and petrology,Geology,Natural sciences and Mathematics,40.06,Geological and Earth Sciences/Geosciences.
