ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
,#N/A,,,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
7.01.00,Agriculture,,,01.01,"Agriculture, General."
7.01.00,Agriculture,,,01.00,"Agriculture, General."
3,#N/A,,,1.01,Agricultural Business and Management.
3.03.01,Agribusiness,,,01.01.01,"Agricultural Business and Management, General."
3.03.01,Agribusiness,,,01.01.02,Agribusiness/Agricultural Business Operations.
7.01.01,Agricultural Economics,,,01.01.03,Agricultural Economics.
3.03.01,Agribusiness,,,01.01.04,Farm/Farm and Ranch Management.
3.03.01,Agribusiness,,,01.01.05,Agricultural/Farm Supplies Retailing and Wholesaling.
3.03.01,Agribusiness,,,01.01.06,Agricultural Business Technology.
3.03.01,Agribusiness,,,01.01.99,"Agricultural Business and Management, Other."
,#N/A,,,1.02,Agricultural Mechanization.
5.05.01,Bioresource and Agricultural Engineering,,,01.02.01,"Agricultural Mechanization, General."
5.05.01,Bioresource and Agricultural Engineering,,,01.02.04,Agricultural Power Machinery Operation.
5.05.01,Bioresource and Agricultural Engineering,,,01.02.05,Agricultural Mechanics and Equipment/Machine Technology.
5.05.01,Bioresource and Agricultural Engineering,,,01.02.99,"Agricultural Mechanization, Other."
,#N/A,,,01.03,Agricultural Production Operations.
7.01.00,Agriculture,,,01.03.01,"Agricultural Production Operations, General."
7.02.08,Other Animal Sciences,,,01.03.02,Animal/Livestock Husbandry and Production.
7.02.01,Aquaculture and Fisheries,,,01.03.03,Aquaculture.
7.23.02,Agronomy and Crop Sciences,,,01.03.04,Crop Production.
7.02.02,Dairy Science,,,01.03.06,Dairy Husbandry and Production.
7.02.08,Other Animal Sciences,,,01.03.07,Horse Husbandry/Equine Science and Management.
7.23.01,Agricultural Science,,,01.03.08,Agroecology and Sustainable Agriculture.
7.01.05,Viticulture and Oenology,,,01.03.09,Viticulture and Enology.
3.03.01,Agribusiness,,,01.03.99,"Agricultural Production Operations, Other."
,#N/A,,,1.04,Agricultural and Food Products Processing.
7.11.04,Food Processing,,,01.04.01,Agricultural and Food Products Processing.
,#N/A,,,1.05,Agricultural and Domestic Animal Services.
10.02.01,Animal Studies,,,01.05.04,Dog/Pet/Animal Grooming.
10.02.01,Animal Studies,,,01.05.05,Animal Training.
10.02.01,Animal Studies,,,01.05.07,Equestrian/Equine Studies.
10.02.01,Animal Studies,,,01.05.08,Taxidermy/Taxidermist.
10.02.01,Animal Studies,,,01.05.99,"Agricultural and Domestic Animal Services, Other."
,#N/A,,,1.06,Applied Horticulture and Horticultural Business Services.
7.23.06,Horticulture,,,01.06.01,"Applied Horticulture/Horticulture Operations, General."
7.23.06,Horticulture,,,01.06.03,Ornamental Horticulture.
7.23.06,Horticulture,,,01.06.04,Greenhouse Operations and Management.
1.09.01,Landscape Architecture,,,01.06.05,Landscaping and Groundskeeping.
7.23.08,Plant Breeding and Genetics,,,01.06.06,Plant Nursery Operations and Management.
7.23.11,Other Plant Sciences,,,01.06.07,Turf and Turfgrass Management.
7.23.06,Horticulture,,,01.06.08,Floriculture/Floristry Operations and Management.
7.23.06,Horticulture,,,01.06.99,"Applied Horticulture/Horticultural Business Services, Other."
,#N/A,,,1.07,International Agriculture.
7.01.02,Agricultural Education,,,01.07.01,International Agriculture.
,#N/A,,,1.08,Agricultural Public Services.
7.01.02,Agricultural Education,,,01.08.01,Agricultural and Extension Education Services.
7.01.02,Agricultural Education,,,01.08.02,Agricultural Communication/Journalism.
7.01.02,Agricultural Education,,,01.08.99,"Agricultural Public Services, Other."
7.02.00,Animal Sciences,,,1.09,Animal Sciences.
7.02.00,Animal Sciences,,,01.09.01,"Animal Sciences, General."
7.02.08,Other Animal Sciences,,,01.09.02,Agricultural Animal Breeding.
7.02.08,Other Animal Sciences,,,01.09.03,Animal Health.
7.02.08,Other Animal Sciences,,,01.09.04,Animal Nutrition.
7.02.02,Dairy Science,,,01.09.05,Dairy Science.
7.02.00,Animal Sciences,,,01.09.06,Livestock Management.
7.02.05,Poultry or Avian Science,,,01.09.07,Poultry Science.
7.02.08,Other Animal Sciences,,,01.09.99,"Animal Sciences, Other."
7.11.00,Food Science,,,1.1,Food Science and Technology.
7.11.00,Food Science,,,01.10.01,Food Science.
7.11.04,Food Processing,,,01.10.02,Food Technology and Processing.
7.11.05,Other Food Science,,,01.10.99,"Food Science and Technology, Other."
7.23.00,Plant Sciences,,,1.11,Plant Sciences.
7.23.00,Plant Sciences,,,01.11.01,"Plant Sciences, General."
7.23.02,Agronomy and Crop Sciences,,,01.11.02,Agronomy and Crop Science.
7.23.06,Horticulture,,,01.11.03,Horticultural Science.
7.23.06,Horticulture,,,01.11.04,Agricultural and Horticultural Plant Breeding.
7.23.11,Other Plant Sciences,,,01.11.05,Plant Protection and Integrated Pest Management.
9.06.07,Natural Resources Management and Policy,,,01.11.06,Range Science and Management.
7.23.11,Other Plant Sciences,,,01.11.99,"Plant Sciences, Other."
9.05.13,Soil Science,,,1.12,Soil Sciences.
9.05.13,Soil Science,,,01.12.01,"Soil Science and Agronomy, General."
9.05.13,Soil Science,,,01.12.02,Soil Chemistry and Physics.
9.05.13,Soil Science,,,01.12.03,Soil Microbiology.
9.05.13,Soil Science,,,01.12.99,"Soil Sciences, Other."
7.01.00,Agriculture,,,1.99,"Agriculture, Agriculture Operations, and Related Sciences, Other."
7.01.00,Agriculture,,,01.99.99,"Agriculture, Agriculture Operations, and Related Sciences, Other."
,#N/A,,,03.00.00,NATURAL RESOURCES AND CONSERVATION.
9.06.06,Natural Resources and Conservation,,,03.01.00,Natural Resources Conservation and Research.
9.06.06,Natural Resources and Conservation,,,03.01.01,"Natural Resources/Conservation, General."
10.07.01,Environmental Studies,,,03.01.03,Environmental Studies.
9.06.00,Environmental Sciences,,,03.01.04,Environmental Science.
9.06.06,Natural Resources and Conservation,,,03.01.99,"Natural Resources Conservation and Research, Other."
9.06.07,Natural Resources Management and Policy,,,3.02,Natural Resources Management and Policy.
9.06.07,Natural Resources Management and Policy,,,03.02.01,Natural Resources Management and Policy.
9.06.05,Natural Resource Economics,,,03.02.04,Natural Resource Economics.
