ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
N/A,Agronomy & Agriculture,"Agriculture, Fisheries & Forestry",Applied Sciences,1.99,"Agriculture, Agriculture Operations, and Related Sciences, Other."
N/A,Dairy & Animal Science,"Agriculture, Fisheries & Forestry",Applied Sciences,1.09,Animal Sciences.
N/A,Fisheries,"Agriculture, Fisheries & Forestry",Applied Sciences,3.03,Fishing and Fisheries Sciences and Management.
N/A,Food Science,"Agriculture, Fisheries & Forestry",Applied Sciences,1.10,Food Science and Technology.
N/A,Forestry,"Agriculture, Fisheries & Forestry",Applied Sciences,3.05,Forestry.
N/A,Horticulture,"Agriculture, Fisheries & Forestry",Applied Sciences,1.06,Applied Horticulture and Horticultural Business Services.
N/A,Veterinary Sciences,"Agriculture, Fisheries & Forestry",Applied Sciences,51.25,Veterinary Biomedical and Clinical Sciences.
N/A,Architecture,Built Environment & Design,Applied Sciences,4.02,Architecture.
N/A,Building & Construction,Built Environment & Design,Applied Sciences,46.04,"Building/Construction Finishing, Management, and Inspection."
N/A,Design Practice & Management,Built Environment & Design,Applied Sciences,4.99,"Architecture and Related Services, Other."
N/A,Urban & Regional Planning,Built Environment & Design,Applied Sciences,4.03,"City/Urban, Community and Regional Planning."
N/A,Bioinformatics,Enabling & Strategic Technologies,Applied Sciences,26.11,"Biomathematics, Bioinformatics, and Computational Biology."
N/A,Biotechnology,Enabling & Strategic Technologies,Applied Sciences,26.12,Biotechnology.
N/A,Energy,Enabling & Strategic Technologies,Applied Sciences,15.05,Environmental Control Technologies/Technicians.
N/A,Materials,Enabling & Strategic Technologies,Applied Sciences,40.10,Materials Sciences.
N/A,Nanoscience & Nanotechnology,Enabling & Strategic Technologies,Applied Sciences,15.16,Nanotechnology.
N/A,Optoelectronics & Photonics,Enabling & Strategic Technologies,Applied Sciences,40.08,Physics.
N/A,"Strategic, Defence & Security Studies",Enabling & Strategic Technologies,Applied Sciences,28.06,Security Policy and Strategy.
N/A,Aerospace & Aeronautics,Engineering,Applied Sciences,14.02,"Aerospace, Aeronautical and Astronautical Engineering."
N/A,Automobile Design & Engineering,Engineering,Applied Sciences,15.08,Mechanical Engineering Related Technologies/Technicians.
N/A,Biomedical Engineering,Engineering,Applied Sciences,14.05,Biomedical/Medical Engineering.
N/A,Chemical Engineering,Engineering,Applied Sciences,14.07,Chemical Engineering.
N/A,Civil Engineering,Engineering,Applied Sciences,14.08,Civil Engineering.
N/A,Electrical & Electronic Engineering,Engineering,Applied Sciences,14.10,"Electrical, Electronics and Communications Engineering."
N/A,Environmental Engineering,Engineering,Applied Sciences,14.14,Environmental/Environmental Health Engineering.
N/A,Geological & Geomatics Engineering,Engineering,Applied Sciences,14.39,Geological/Geophysical Engineering.
N/A,Industrial Engineering & Automation,Engineering,Applied Sciences,14.35,Industrial Engineering.
N/A,Mechanical Engineering & Transports,Engineering,Applied Sciences,14.19,Mechanical Engineering.
N/A,Mining & Metallurgy,Engineering,Applied Sciences,14.21,Mining and Mineral Engineering.
N/A,Operations Research,Engineering,Applied Sciences,14.37,Operations Research.
N/A,Artificial Intelligence & Image Processing,Information & Communication Technologies,Applied Sciences,11.01,"Computer and Information Sciences, General."
N/A,Computation Theory & Mathematics,Information & Communication Technologies,Applied Sciences,27.03,Applied Mathematics.
N/A,Computer Hardware & Architecture,Information & Communication Technologies,Applied Sciences,14.09,Computer Engineering.
N/A,Distributed Computing,Information & Communication Technologies,Applied Sciences,11.99,"Computer and Information Sciences and Support Services, Other."
N/A,Information Systems,Information & Communication Technologies,Applied Sciences,52.12,Management Information Systems and Services.
N/A,Medical Informatics,Information & Communication Technologies,Applied Sciences,51.27,Medical Illustration and Informatics.
N/A,Networking & Telecommunications,Information & Communication Technologies,Applied Sciences,11.09,Computer Systems Networking and Telecommunications.
N/A,Software Engineering,Information & Communication Technologies,Applied Sciences,11.08,Computer Software and Media Applications.
N/A,Communication & Media Studies,Communication & Textual Studies,Arts & Humanities,9.01,Communication and Media Studies.
N/A,Languages & Linguistics,Communication & Textual Studies,Arts & Humanities,16.01,"Linguistic, Comparative, and Related Language Studies and Services."
N/A,Literary Studies,Communication & Textual Studies,Arts & Humanities,23.14,Literature.
N/A,Anthropology,Historical Studies,Arts & Humanities,45.02,Anthropology.
N/A,Archaeology,Historical Studies,Arts & Humanities,45.03,Archeology.
N/A,Classics,Historical Studies,Arts & Humanities,16.12,"Classics and Classical Languages, Literatures, and Linguistics."
N/A,History,Historical Studies,Arts & Humanities,54.01,History.
N/A,"History of Science, Technology & Medicine",Historical Studies,Arts & Humanities,54.01,History.
N/A,History of Social Sciences,Historical Studies,Arts & Humanities,54.01,History.
N/A,Applied Ethics,Philosophy & Theology,Arts & Humanities,38.01,Philosophy.
N/A,Philosophy,Philosophy & Theology,Arts & Humanities,38.01,Philosophy.
N/A,Religions & Theology,Philosophy & Theology,Arts & Humanities,38.02,Religion/Religious Studies.
N/A,"Art Practice, History & Theory",Visual & Performing Arts,Arts & Humanities,50.99,"Visual and Performing Arts, Other."
N/A,Drama & Theater,Visual & Performing Arts,Arts & Humanities,50.05,Drama/Theatre Arts and Stagecraft.
N/A,Folklore,Visual & Performing Arts,Arts & Humanities,23.14,Literature.
N/A,Music,Visual & Performing Arts,Arts & Humanities,50.09,Music.
N/A,Accounting,Economics & Business,Economic & Social Sciences,52.03,Accounting and Related Services.
N/A,Agricultural Economics & Policy,Economics & Business,Economic & Social Sciences,1.01,Agricultural Business and Management.
N/A,Business & Management,Economics & Business,Economic & Social Sciences,52.02,"Business Administration, Management and Operations."
N/A,Development Studies,Economics & Business,Economic & Social Sciences,45.99,"Social Sciences, Other."
N/A,Econometrics,Economics & Business,Economic & Social Sciences,45.06,Economics.
N/A,Economic Theory,Economics & Business,Economic & Social Sciences,45.06,Economics.
N/A,Economics,Economics & Business,Economic & Social Sciences,45.06,Economics.
N/A,Finance,Economics & Business,Economic & Social Sciences,52.08,Finance and Financial Management Services.
N/A,Industrial Relations,Economics & Business,Economic & Social Sciences,52.10,Human Resources Management and Services.
N/A,Logistics & Transportation,Economics & Business,Economic & Social Sciences,49.99,"Transportation and Materials Moving, Other."
N/A,Marketing,Economics & Business,Economic & Social Sciences,52.14,Marketing.
N/A,"Sport, Leisure & Tourism",Economics & Business,Economic & Social Sciences,52.09,Hospitality Administration/Management.
