ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
N/A,Acoustics,N/A,Science Citation Index,40.08,Physics.
N/A,Agricultural Economics & Policy,N/A,Science Citation Index,1.01,Agricultural Business and Management.
N/A,Agricultural Engineering,N/A,Science Citation Index,14.03,Agricultural Engineering.
N/A,"Agriculture, Dairy & Animal Science",N/A,Science Citation Index,1.05,Agricultural and Domestic Animal Services.
N/A,"Agriculture, Multidisciplinary",N/A,Science Citation Index,1.00,"Agriculture, General."
N/A,Agronomy,N/A,Science Citation Index,1.11,Plant Sciences.
N/A,Allergy,N/A,Science Citation Index,51.12,Medicine.
N/A,Anatomy & Morphology,N/A,Science Citation Index,26.04,Cell/Cellular Biology and Anatomical Sciences.
N/A,Andrology,N/A,Science Citation Index,51.12,Medicine.
N/A,Anesthesiology,N/A,Science Citation Index,51.12,Medicine.
N/A,Astronomy & Astrophysics,N/A,Science Citation Index,40.02,Astronomy and Astrophysics.
N/A,Audiology & Speech-Language Pathology,N/A,Science Citation Index,51.02,Communication Disorders Sciences and Services.
N/A,Automation & Control Systems,N/A,Science Citation Index,14.42,"Mechatronics, Robotics, and Automation Engineering."
N/A,Behavioral Sciences,N/A,Science Citation Index,30.17,Behavioral Sciences.
N/A,Biochemical Research Methods,N/A,Science Citation Index,14.43,Biochemical Engineering.
N/A,Molecular Biology & Molecular Biology,N/A,Science Citation Index,26.02,"Biochemistry, Biophysics and Molecular Biology."
N/A,Biodiversity Conservation,N/A,Science Citation Index,3.01,Natural Resources Conservation and Research.
N/A,Biology,N/A,Science Citation Index,26.01,"Biology, General."
N/A,Biophysics,N/A,Science Citation Index,26.02,"Biochemistry, Biophysics and Molecular Biology."
N/A,Biotechnology & Applied Microbiology,N/A,Science Citation Index,26.12,Biotechnology.
N/A,Cardiac & Cardiovascular Systems,N/A,Science Citation Index,51.12,Medicine.
N/A,Cell Biology,N/A,Science Citation Index,26.04,Cell/Cellular Biology and Anatomical Sciences.
N/A,Cell & Tissue Engineering,N/A,Science Citation Index,14.05,Biomedical/Medical Engineering.
N/A,"Chemistry, Analytical",N/A,Science Citation Index,40.05,Chemistry.
N/A,"Chemistry, Applied",N/A,Science Citation Index,40.05,Chemistry.
N/A,"Chemistry, Inorganic & Nuclear",N/A,Science Citation Index,40.05,Chemistry.
N/A,"Chemistry, Medicinal",N/A,Science Citation Index,51.20,"Pharmacy, Pharmaceutical Sciences, and Administration."
N/A,"Chemistry, Multidisciplinary",N/A,Science Citation Index,40.05,Chemistry.
N/A,"Chemistry, Organic",N/A,Science Citation Index,40.05,Chemistry.
N/A,"Chemistry, Physical",N/A,Science Citation Index,40.05,Chemistry.
N/A,Clinical Neurology,N/A,Science Citation Index,51.12,Medicine.
N/A,"Computer Science, Artificial Intelligence",N/A,Science Citation Index,11.07,Computer Science.
N/A,"Computer Science, Cybernetics",N/A,Science Citation Index,11.07,Computer Science.
N/A,"Computer Science, Hardware & Architecture",N/A,Science Citation Index,14.09,Computer Engineering.
N/A,"Computer Science, Information Systems",N/A,Science Citation Index,11.07,Computer Science.
N/A,"Computer Science, Interdisciplinary Applications",N/A,Science Citation Index,11.07,Computer Science.
N/A,"Computer Science, Software Engineering",N/A,Science Citation Index,11.08,Computer Software and Media Applications.
N/A,"Computer Science, Theory & Methods",N/A,Science Citation Index,11.07,Computer Science.
N/A,Construction & Building Technology,N/A,Science Citation Index,14.33,Construction Engineering.
N/A,Critical Care Medicine,N/A,Science Citation Index,51.12,Medicine.
N/A,Crystallography,N/A,Science Citation Index,40.08,Physics.
N/A,"Dentistry, Oral Surgery & Medicine",N/A,Science Citation Index,51.04,Dentistry.
N/A,Dermatology,N/A,Science Citation Index,51.12,Medicine.
N/A,Developmental Biology,N/A,Science Citation Index,26.04,Cell/Cellular Biology and Anatomical Sciences.
N/A,Ecology,N/A,Science Citation Index,26.13,"Ecology, Evolution, Systematics, and Population Biology."
N/A,"Education, Scientific Disciplines",N/A,Science Citation Index,13.01,"Education, General."
N/A,Electrochemistry,N/A,Science Citation Index,40.05,Chemistry.
N/A,Emergency Medicine,N/A,Science Citation Index,51.12,Medicine.
N/A,Endocrinology & Metabolism,N/A,Science Citation Index,51.12,Medicine.
N/A,Energy & Fuels,N/A,Science Citation Index,15.05,Environmental Control Technologies/Technicians.
N/A,"Engineering, Aerospace",N/A,Science Citation Index,14.02,"Aerospace, Aeronautical and Astronautical Engineering."
N/A,"Engineering, Biomedical",N/A,Science Citation Index,14.05,Biomedical/Medical Engineering.
N/A,"Engineering, Chemical",N/A,Science Citation Index,14.07,Chemical Engineering.
N/A,"Engineering, Civil",N/A,Science Citation Index,14.08,Civil Engineering.
N/A,"Engineering, Electrical & Electronic",N/A,Science Citation Index,14.10,"Electrical, Electronics and Communications Engineering."
