Low Level ID,Low Level Name,Mid Level ID,Mid Level Name,High Level ID,High Level Name
1.00.00,Architecture,1.00,Architecture,1,Architecture
1.01.01,Architectural Engineering,1.01,Architectural Engineering,1,Architecture
1.02.01,Architectural History and Criticism,1.02,Architectural History and Criticism,1,Architecture
1.03.01,Architectural Technology,1.03,Architectural Technology,1,Architecture
1.04.01,Construction Engineering,1.04,Construction Engineering,1,Architecture
1.05.01,Cultural Resource Management and Policy Analysis,1.05,Cultural Resource Management and Policy Analysis,1,Architecture
1.06.01,Environmental Design,1.06,Environmental Design,1,Architecture
1.07.01,Historic Preservation and Conservation,1.07,Historic Preservation and Conservation,1,Architecture
1.08.01,Interior Architecture,1.08,Interior Architecture,1,Architecture
1.09.01,Landscape Architecture,1.09,Landscape Architecture,1,Architecture
1.10.01,"Urban, Community and Regional Planning",1.10,"Urban, Community and Regional Planning",1,Architecture
1.11.01,Other Architecture,1.11,Other Architecture,1,Architecture
2.00.00,Arts and Humanities,2.00,Arts and Humanities,2,Arts and Humanities
2.01.01,African Languages and Societies,2.01,African Languages and Societies,2,Arts and Humanities
2.02.00,American Studies,2.02,American Studies,2,Arts and Humanities
2.02.01,American Film Studies,2.02,American Studies,2,Arts and Humanities
2.02.02,American Literature,2.02,American Studies,2,Arts and Humanities
2.02.03,American Material Culture,2.02,American Studies,2,Arts and Humanities
2.02.04,American Popular Culture,2.02,American Studies,2,Arts and Humanities
2.02.05,Other American Studies,2.02,American Studies,2,Arts and Humanities
2.03.01,Appalachian Studies,2.03,Appalachian Studies,2,Arts and Humanities
2.04.00,Art and Design,2.04,Art and Design,2,Arts and Humanities
2.04.01,Art and Materials Conservation,2.04,Art and Design,2,Arts and Humanities
2.04.02,Book and Paper,2.04,Art and Design,2,Arts and Humanities
2.04.03,Ceramic Arts,2.04,Art and Design,2,Arts and Humanities
2.04.04,Fashion Design,2.04,Art and Design,2,Arts and Humanities
2.04.05,"Fiber, Textile, and Weaving Arts",2.04,Art and Design,2,Arts and Humanities
2.04.06,Game Design,2.04,Art and Design,2,Arts and Humanities
2.04.07,Graphic Design,2.04,Art and Design,2,Arts and Humanities
2.04.08,Illustration,2.04,Art and Design,2,Arts and Humanities
2.04.09,Industrial and Product Design,2.04,Art and Design,2,Arts and Humanities
2.04.10,Interactive Arts,2.04,Art and Design,2,Arts and Humanities
2.04.11,Interdisciplinary Arts and Media,2.04,Art and Design,2,Arts and Humanities
2.04.12,Metal and Jewelry Arts,2.04,Art and Design,2,Arts and Humanities
2.04.13,Painting,2.04,Art and Design,2,Arts and Humanities
2.04.14,Printmaking,2.04,Art and Design,2,Arts and Humanities
2.04.15,Sculpture,2.04,Art and Design,2,Arts and Humanities
2.05.01,Art Practice,2.05,Art Practice,2,Arts and Humanities
2.06.01,Audio Arts and Acoustics,2.06,Audio Arts and Acoustics,2,Arts and Humanities
2.07.01,Australian Studies,2.07,Australian Studies,2,Arts and Humanities
2.08.01,Basque Studies,2.08,Basque Studies,2,Arts and Humanities
2.09.01,Celtic Studies,2.09,Celtic Studies,2,Arts and Humanities
2.10.00,Classics,2.10,Classics,2,Arts and Humanities
2.10.01,"Ancient History, Greek and Roman through Late Antiquity",2.10,Classics,2,Arts and Humanities
2.10.02,Ancient Philosophy,2.10,Classics,2,Arts and Humanities
2.10.03,Byzantine and Modern Greek,2.10,Classics,2,Arts and Humanities
2.10.04,Classical Archaeology and Art History,2.10,Classics,2,Arts and Humanities
2.10.05,Classical Literature and Philology,2.10,Classics,2,Arts and Humanities
2.10.06,Indo-European Linguistics and Philology,2.10,Classics,2,Arts and Humanities
2.10.07,Other Classics,2.10,Classics,2,Arts and Humanities
2.11.00,Comparative Literature,2.11,Comparative Literature,2,Arts and Humanities
2.11.01,Translation Studies,2.11,Comparative Literature,2,Arts and Humanities
2.12.00,Creative Writing,2.12,Creative Writing,2,Arts and Humanities
2.12.01,Fiction,2.12,Creative Writing,2,Arts and Humanities
2.12.02,Nonfiction,2.12,Creative Writing,2,Arts and Humanities
2.12.03,Poetry,2.12,Creative Writing,2,Arts and Humanities
2.13.01,Digital Humanities,2.13,Digital Humanities,2,Arts and Humanities
2.14.01,Dutch Studies,2.14,Dutch Studies,2,Arts and Humanities
2.15.00,East Asian Languages and Societies,2.15,East Asian Languages and Societies,2,Arts and Humanities
2.15.01,Chinese Studies,2.15,East Asian Languages and Societies,2,Arts and Humanities
2.15.02,Japanese Studies,2.15,East Asian Languages and Societies,2,Arts and Humanities
2.15.03,Korean Studies,2.15,East Asian Languages and Societies,2,Arts and Humanities
2.16.00,English Language and Literature,2.16,English Language and Literature,2,Arts and Humanities
