ID,Low Level Name,Mid Level Name,High Level Name,DC Number,DC Group Name
1,MATHEMATICAL SCIENCES,MATHEMATICAL SCIENCES,N/A,,#N/A
101,PURE MATHEMATICS,MATHEMATICAL SCIENCES,N/A,9.07.00,Mathematics
102,APPLIED MATHEMATICS,MATHEMATICAL SCIENCES,N/A,9.01.00,Applied Mathematics
103,NUMERICAL AND COMPUTATIONAL MATHEMATICS,MATHEMATICAL SCIENCES,N/A,9.04.05,Numerical Analysis and Scientific Computing
104,STATISTICS,MATHEMATICAL SCIENCES,N/A,9.10.00,Statistics and Probability
105,MATHEMATICAL PHYSICS,MATHEMATICAL SCIENCES,N/A,9.09.12,Other Physics
199,OTHER MATHEMATICAL SCIENCES,MATHEMATICAL SCIENCES,N/A,9.07.11,Other Mathematics
2,PHYSICAL SCIENCES,PHYSICAL SCIENCES,N/A,,#N/A
201,ASTRONOMICAL AND SPACE SCIENCES,PHYSICAL SCIENCES,N/A,9.02.00,Astrophysics and Astronomy
202,"ATOMIC, MOLECULAR, NUCLEAR, PARTICLE AND PLASMA PHYSICS ",PHYSICAL SCIENCES,N/A,9.09.01,"Atomic, Molecular and Optical Physics"
203,CLASSICAL PHYSICS,PHYSICAL SCIENCES,N/A,9.09.12,Other Physics
204,CONDENSED MATTER PHYSICS,PHYSICAL SCIENCES,N/A,9.09.03,Condensed Matter Physics
205,OPTICAL PHYSICS,PHYSICAL SCIENCES,N/A,9.09.01,"Atomic, Molecular and Optical Physics"
206,QUANTUM PHYSICS,PHYSICAL SCIENCES,N/A,9.09.10,Quantum Physics
299,OTHER PHYSICAL SCIENCES,PHYSICAL SCIENCES,N/A,9.11.01,Other Physical Sciences and Mathematics
3,CHEMICAL SCIENCES,CHEMICAL SCIENCES,N/A,,#N/A
301,ANALYTICAL CHEMISTRY,CHEMICAL SCIENCES,N/A,9.03.01,Analytical Chemistry
302,INORGANIC CHEMISTRY,CHEMICAL SCIENCES,N/A,9.03.03,Inorganic Chemistry
303,MACROMOLECULAR AND MATERIALS CHEMISTRY,CHEMICAL SCIENCES,N/A,8.05.12,Macromolecular Substances
304,MEDICINAL AND BIOMOLECULAR CHEMISTRY,CHEMICAL SCIENCES,N/A,9.03.05,Medicinal-Pharmaceutical Chemistry
305,ORGANIC CHEMISTRY,CHEMICAL SCIENCES,N/A,9.03.06,Organic Chemistry
306,PHYSICAL CHEMISTRY (INCL. STRUCTURAL),CHEMICAL SCIENCES,N/A,9.03.07,Physical Chemistry
307,THEORETICAL AND COMPUTATIONAL CHEMISTRY,CHEMICAL SCIENCES,N/A,9.03.10,Other Chemistry
399,OTHER CHEMICAL SCIENCES,CHEMICAL SCIENCES,N/A,9.03.10,Other Chemistry
4,EARTH SCIENCES,EARTH SCIENCES,N/A,,#N/A
401,ATMOSPHERIC SCIENCES,EARTH SCIENCES,N/A,9.08.01,Atmospheric Sciences
402,GEOCHEMISTRY,EARTH SCIENCES,N/A,9.05.03,Geochemistry
403,GEOLOGY,EARTH SCIENCES,N/A,9.05.04,Geology
404,GEOPHYSICS,EARTH SCIENCES,N/A,9.05.06,Geophysics and Seismology
405,OCEANOGRAPHY,EARTH SCIENCES,N/A,9.08.05,Oceanography
406,PHYSICAL GEOGRAPHY AND ENVIRONMENTAL GEOSCIENCE,EARTH SCIENCES,N/A,10.09.04,Physical and Environmental Geography
499,OTHER EARTH SCIENCES,EARTH SCIENCES,N/A,9.05.18,Other Earth Sciences
5,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES,N/A,,#N/A
501,ECOLOGICAL APPLICATIONS,ENVIRONMENTAL SCIENCES,N/A,9.06.07,Natural Resources Management and Policy
502,ENVIRONMENTAL SCIENCE AND MANAGEMENT,ENVIRONMENTAL SCIENCES,N/A,9.06.06,Natural Resources and Conservation
503,SOIL SCIENCES,ENVIRONMENTAL SCIENCES,N/A,9.05.13,Soil Science
599,OTHER ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES,N/A,9.06.11,Other Environmental Sciences
6,BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES,N/A,,#N/A
601,BIOCHEMISTRY AND CELL BIOLOGY,BIOLOGICAL SCIENCES,N/A,7.08.03,Cell Biology
602,ECOLOGY,BIOLOGICAL SCIENCES,N/A,7.09.00,Ecology and Evolutionary Biology
603,EVOLUTIONARY BIOLOGY,BIOLOGICAL SCIENCES,N/A,7.09.00,Ecology and Evolutionary Biology
604,GENETICS,BIOLOGICAL SCIENCES,N/A,7.13.02,Genetics
605,MICROBIOLOGY,BIOLOGICAL SCIENCES,N/A,7.18.00,Microbiology
606,PHYSIOLOGY,BIOLOGICAL SCIENCES,N/A,7.22.00,Physiology
607,PLANT BIOLOGY,BIOLOGICAL SCIENCES,N/A,7.23.07,Plant Biology
608,ZOOLOGY,BIOLOGICAL SCIENCES,N/A,7.02.07,Zoology
699,OTHER BIOLOGICAL SCIENCES,BIOLOGICAL SCIENCES,N/A,7.06.00,Biology
7,AGRICULTURAL AND VETERINARY SCIENCES,AGRICULTURAL AND VETERINARY SCIENCES,N/A,,#N/A
701,"AGRICULTURE, LAND AND FARM MANAGEMENT ",AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.01.00,Agriculture
702,ANIMAL PRODUCTION,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.02.00,Animal Sciences
703,CROP AND PASTURE PRODUCTION,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.23.02,Agronomy and Crop Sciences
704,FISHERIES SCIENCES,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.02.01,Aquaculture and Fisheries
705,FORESTRY SCIENCES,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.12.02,Forest Management
706,HORTICULTURAL PRODUCTION,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.23.06,Horticulture
707,VETERINARY SCIENCES,AGRICULTURAL AND VETERINARY SCIENCES,N/A,8.27.00,Veterinary Medicine
799,OTHER AGRICULTURAL AND VETERINARY SCIENCES,AGRICULTURAL AND VETERINARY SCIENCES,N/A,7.02.08,Other Animal Sciences
8,INFORMATION AND COMPUTING SCIENCES,INFORMATION AND COMPUTING SCIENCES,N/A,,#N/A
801,ARTIFICIAL INTELLIGENCE AND IMAGE PROCESSING,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.01,Artificial Intelligence and Robotics
802,COMPUTATION THEORY AND MATHEMATICS,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.10,Theory and Algorithms
803,COMPUTER SOFTWARE,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.08,Software Engineering
804,DATA FORMAT,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.03,Databases and Information Systems
805,DISTRIBUTED COMPUTING,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.11,Other Computer Sciences
806,INFORMATION SYSTEMS,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.03,Databases and Information Systems
807,LIBRARY AND INFORMATION STUDIES,INFORMATION AND COMPUTING SCIENCES,N/A,10.14.00,Library and Information Science
899,OTHER INFORMATION AND COMPUTING SCIENCES,INFORMATION AND COMPUTING SCIENCES,N/A,9.04.11,Other Computer Sciences
9,ENGINEERING,ENGINEERING,N/A,,#N/A
901,AEROSPACE ENGINEERING,ENGINEERING,N/A,5.01.00,Aerospace Engineering
902,AUTOMOTIVE ENGINEERING,ENGINEERING,N/A,5.02.01,Automotive Engineering
903,BIOMEDICAL ENGINEERING,ENGINEERING,N/A,5.04.00,Biomedical Engineering and Bioengineering
904,CHEMICAL ENGINEERING,ENGINEERING,N/A,5.06.00,Chemical Engineering
905,CIVIL ENGINEERING,ENGINEERING,N/A,5.07.01,Civil Engineering
906,ELECTRICAL AND ELECTRONIC ENGINEERING,ENGINEERING,N/A,5.10.03,Electrical and Electronics
907,ENVIRONMENTAL ENGINEERING,ENGINEERING,N/A,5.07.03,Environmental Engineering
908,FOOD SCIENCES,ENGINEERING,N/A,7.11.00,Food Science
909,GEOMATIC ENGINEERING,ENGINEERING,N/A,5.07.04,Geotechnical Engineering
910,MANUFACTURING ENGINEERING,ENGINEERING,N/A,5.14.08,Manufacturing
911,MARITIME ENGINEERING,ENGINEERING,N/A,5.14.09,Ocean Engineering
912,MATERIALS ENGINEERING,ENGINEERING,N/A,5.13.00,Materials Science and Engineering
913,MECHANICAL ENGINEERING,ENGINEERING,N/A,5.14.00,Mechanical Engineering
