ID,Low Level Name,Mid Level Name,High Level Name,DC Number,DC Group Name
1,Natural sciences and mathematics,Natural sciences and mathematics,Natural sciences and mathematics,,
1.01,Mathematics,Mathematics,Natural sciences and mathematics,,#N/A
1.01.01,Analysis,Mathematics,Natural sciences and mathematics,9.07.03,Analysis
1.01.02,Topology,Mathematics,Natural sciences and mathematics,9.07.06,Geometry and Topology
1.01.03,Numerical and computer mathematics,Mathematics,Natural sciences and mathematics,9.01.04,Numerical Analysis and Computation
1.01.04,Algebra,Mathematics,Natural sciences and mathematics,9.07.01,Algebra
1.01.05,Graph theory,Mathematics,Natural sciences and mathematics,9.07.11,Other Mathematics
1.01.06,Probability and statistics,Mathematics,Natural sciences and mathematics,9.10.00,Statistics and Probability
1.02,Physics,Physics,Natural sciences and mathematics,,#N/A
1.02.01,Physics of condensed matter,Physics,Natural sciences and mathematics,9.09.03,Condensed Matter Physics
1.02.02,Theoretical physics,Physics,Natural sciences and mathematics,9.09.12,Other Physics
1.02.03,Astronomy,Physics,Natural sciences and mathematics,9.02.00,Astrophysics and Astronomy
1.02.04,Meteorology and oceanography,Physics,Natural sciences and mathematics,9.08.04,Meteorology
1.02.05,Medium- and high-energy physics,Physics,Natural sciences and mathematics,9.09.12,Other Physics
1.02.06,Experimental physics of elementary particles,Physics,Natural sciences and mathematics,9.09.04,Elementary Particles and Fields and String Theory
1.02.07,Biophysics,Physics,Natural sciences and mathematics,7.03.02,Biophysics
1.02.08,Medical physics,Physics,Natural sciences and mathematics,8.23.05,Health and Medical Physics
1.03,Biology,Biology,Natural sciences and mathematics,,#N/A
1.03.01,Zoology and zoophysiology,Biology,Natural sciences and mathematics,7.02.07,Zoology
1.03.02,Botany,Biology,Natural sciences and mathematics,7.23.03,Botany
1.03.03,Ecosystems,Biology,Natural sciences and mathematics,7.09.00,Ecology and Evolutionary Biology
1.03.04,Plant physiology,Biology,Natural sciences and mathematics,7.23.07,Plant Biology
1.04,Chemistry,Chemistry,Natural sciences and mathematics,,#N/A
1.04.01,Phyisical chemistry,Chemistry,Natural sciences and mathematics,9.03.07,Physical Chemistry
1.04.02,Structural chemistry,Chemistry,Natural sciences and mathematics,9.03.10,Other Chemistry
1.04.03,Inorganic chemistry,Chemistry,Natural sciences and mathematics,9.03.03,Inorganic Chemistry
1.04.04,Organic chemistry,Chemistry,Natural sciences and mathematics,9.03.06,Organic Chemistry
1.04.05,Analytical chemistry,Chemistry,Natural sciences and mathematics,9.03.01,Analytical Chemistry
1.04.06,Geochemistry,Chemistry,Natural sciences and mathematics,9.05.03,Geochemistry
1.05,Biochemistry and molecular biology,Biochemistry and molecular biology,Natural sciences and mathematics,7.03.01,Biochemistry
1.06,Geology,Biochemistry and molecular biology,Natural sciences and mathematics,,#N/A
1.06.01,Mineralogy and petrology,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.09,Mineral Physics
1.06.02,Palaeontology and biostratigraphy,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.11,Paleontology
1.06.03,Sedimentology,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.12,Sedimentology
1.06.04,Geochemistry,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.03,Geochemistry
1.06.05,Geophysics,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.06,Geophysics and Seismology
1.06.06,Regional geology,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.04,Geology
1.06.07,"Natural resources (mineral and energy raw materials, water)",Biochemistry and molecular biology,Natural sciences and mathematics,9.06.06,Natural Resources and Conservation
1.06.08,Environmental geology,Biochemistry and molecular biology,Natural sciences and mathematics,9.05.04,Geology
1.06.09,Geotechnology,Biochemistry and molecular biology,Natural sciences and mathematics,5.07.04,Geotechnical Engineering
1.06.09,Information systems,Biochemistry and molecular biology,Natural sciences and mathematics,9.04.03,Databases and Information Systems
1.07,Computer intensive methods and applications,Computer intensive methods and applications,Natural sciences and mathematics,,#N/A
1.07.01,Algorithms,Computer intensive methods and applications,Natural sciences and mathematics,9.04.10,Theory and Algorithms
1.07.02,Optimisations,Computer intensive methods and applications,Natural sciences and mathematics,9.04.05,Numerical Analysis and Scientific Computing
