ID,Low Level Name,Mid Level Name,High Level Name,DC Number,DC Group Name
0,Acoustics,Science Citation Index,N/A,5.14.01,"Acoustics, Dynamics, and Controls"
0,Agricultural Economics & Policy,Science Citation Index,N/A,7.01.01,Agricultural Economics
0,Agricultural Engineering,Science Citation Index,N/A,5.05.01,Bioresource and Agricultural Engineering
0,"Agriculture, Dairy & Animal Science",Science Citation Index,N/A,7.02.02,Dairy Science
0,"Agriculture, Multidisciplinary",Science Citation Index,N/A,7.01.00,Agriculture
0,Agronomy,Science Citation Index,N/A,7.23.02,Agronomy and Crop Sciences
0,Allergy,Science Citation Index,N/A,8.15.01,Allergy and Immunology
0,Anatomy & Morphology,Science Citation Index,N/A,8.03.00,Anatomy
0,Andrology,Science Citation Index,N/A,8.15.40,Urology
0,Anesthesiology,Science Citation Index,N/A,8.15.02,Anesthesiology
0,Astronomy & Astrophysics,Science Citation Index,N/A,9.02.00,Astrophysics and Astronomy
0,Audiology & Speech-Language Pathology,Science Citation Index,N/A,8.06.02,Speech Pathology and Audiology
0,Automation & Control Systems,Science Citation Index,N/A,5.18.00,"Operations Research, Systems Engineering and Industrial Engineering"
0,Behavioral Sciences,Science Citation Index,N/A,10.00.00,Social and Behavioral Sciences
0,Biochemical Research Methods,Science Citation Index,N/A,7.03.01,Biochemistry
0,Molecular Biology & Molecular Biology,Science Citation Index,N/A,7.03.03,Molecular Biology
0,Biodiversity Conservation,Science Citation Index,N/A,7.04.01,Biodiversity
0,Biology,Science Citation Index,N/A,7.06.00,Biology
0,Biophysics,Science Citation Index,N/A,7.03.02,Biophysics
0,Biotechnology & Applied Microbiology,Science Citation Index,N/A,7.07.01,Biotechnology
0,Cardiac & Cardiovascular Systems,Science Citation Index,N/A,8.03.03,Cardiovascular System
0,Cell Biology,Science Citation Index,N/A,7.08.03,Cell Biology
0,Cell & Tissue Engineering,Science Citation Index,N/A,5.04.07,"Molecular, Cellular, and Tissue Engineering"
0,"Chemistry, Analytical",Science Citation Index,N/A,9.03.01,Analytical Chemistry
0,"Chemistry, Applied",Science Citation Index,N/A,9.03.10,Other Chemistry
0,"Chemistry, Inorganic & Nuclear",Science Citation Index,N/A,9.03.03,Inorganic Chemistry
0,"Chemistry, Medicinal",Science Citation Index,N/A,9.03.05,Medicinal-Pharmaceutical Chemistry
0,"Chemistry, Multidisciplinary",Science Citation Index,N/A,9.03.00,Chemistry
0,"Chemistry, Organic",Science Citation Index,N/A,9.03.06,Organic Chemistry
0,"Chemistry, Physical",Science Citation Index,N/A,9.03.07,Physical Chemistry
0,Clinical Neurology,Science Citation Index,N/A,8.15.17,Neurology
0,"Computer Science, Artificial Intelligence",Science Citation Index,N/A,9.04.01,Artificial Intelligence and Robotics
0,"Computer Science, Cybernetics",Science Citation Index,N/A,9.04.01,Artificial Intelligence and Robotics
0,"Computer Science, Hardware & Architecture",Science Citation Index,N/A,5.09.05,Hardware Systems
0,"Computer Science, Information Systems",Science Citation Index,N/A,9.04.03,Databases and Information Systems
0,"Computer Science, Interdisciplinary Applications",Science Citation Index,N/A,9.04.11,Other Computer Sciences
0,"Computer Science, Software Engineering",Science Citation Index,N/A,9.04.08,Software Engineering
0,"Computer Science, Theory & Methods",Science Citation Index,N/A,9.04.10,Theory and Algorithms
0,Construction & Building Technology,Science Citation Index,N/A,1.04.01,Construction Engineering
0,Critical Care Medicine,Science Citation Index,N/A,8.15.04,Critical Care
0,Crystallography,Science Citation Index,N/A,7.03.05,"Other Biochemistry, Biophysics, and Structural Biology"
0,"Dentistry, Oral Surgery & Medicine",Science Citation Index,N/A,8.07.00,Dentistry
0,Dermatology,Science Citation Index,N/A,8.15.05,Dermatology
0,Developmental Biology,Science Citation Index,N/A,7.08.04,Developmental Biology
0,Ecology,Science Citation Index,N/A,7.09.00,Ecology and Evolutionary Biology
0,"Education, Scientific Disciplines",Science Citation Index,N/A,4.28.01,Science and Mathematics Education
0,Electrochemistry,Science Citation Index,N/A,9.03.10,Other Chemistry
0,Emergency Medicine,Science Citation Index,N/A,8.15.06,Emergency Medicine
0,Endocrinology & Metabolism,Science Citation Index,N/A,8.15.07,"Endocrinology, Diabetes, and Metabolism"
0,Energy & Fuels,Science Citation Index,N/A,9.06.08,"Oil, Gas, and Energy"
0,"Engineering, Aerospace",Science Citation Index,N/A,5.01.00,Aerospace Engineering
0,"Engineering, Biomedical",Science Citation Index,N/A,5.04.00,Biomedical Engineering and Bioengineering
0,"Engineering, Chemical",Science Citation Index,N/A,5.06.00,Chemical Engineering
0,"Engineering, Civil",Science Citation Index,N/A,5.07.01,Civil Engineering
0,"Engineering, Electrical & Electronic",Science Citation Index,N/A,5.10.03,Electrical and Electronics
0,"Engineering, Environmental",Science Citation Index,N/A,5.07.03,Environmental Engineering
0,"Engineering, Geological",Science Citation Index,N/A,5.07.04,Geotechnical Engineering
0,"Engineering, Industrial",Science Citation Index,N/A,5.18.02,Industrial Engineering
0,"Engineering, Manufacturing",Science Citation Index,N/A,5.14.08,Manufacturing
0,"Engineering, Marine",Science Citation Index,N/A,5.14.09,Ocean Engineering
0,"Engineering, Mechanical",Science Citation Index,N/A,5.14.00,Mechanical Engineering
0,"Engineering, Multidisciplinary",Science Citation Index,N/A,5.00.00,Engineering
0,"Engineering, Ocean",Science Citation Index,N/A,5.14.09,Ocean Engineering
0,"Engineering, Petroleum",Science Citation Index,N/A,5.06.05,Petroleum Engineering
0,Entomology,Science Citation Index,N/A,7.10.01,Entomology
0,Environmental Sciences,Science Citation Index,N/A,9.06.00,Environmental Sciences
0,Evolutionary Biology,Science Citation Index,N/A,7.09.00,Ecology and Evolutionary Biology
0,Fisheries,Science Citation Index,N/A,7.02.01,Aquaculture and Fisheries
0,Food Science & Technology,Science Citation Index,N/A,7.11.01,Food Biotechnology
0,Forestry,Science Citation Index,N/A,7.12.02,Forest Management
0,Gastroenterology & Hepatology,Science Citation Index,N/A,8.15.09,Gastroenterology
0,Genetics & Heredity,Science Citation Index,N/A,7.13.02,Genetics
0,Geochemistry & Geophysics,Science Citation Index,N/A,9.05.03,Geochemistry
0,"Geography, Physical",Science Citation Index,N/A,10.09.04,Physical and Environmental Geography
0,Geology,Science Citation Index,N/A,9.05.04,Geology
0,"Geosciences, Multidisciplinary",Science Citation Index,N/A,9.05.04,Geology
0,Geriatrics & Gerontology,Science Citation Index,N/A,8.15.10,Geriatrics
0,Green & Sustainable Science & Technology,Science Citation Index,N/A,9.06.09,Sustainability
0,Health Care Sciences & Services,Science Citation Index,N/A,8.14.00,Medical Sciences
0,Hematology,Science Citation Index,N/A,8.15.11,Hematology
0,History & Philosophy of Science,Science Citation Index,N/A,2.35.12,Philosophy of Science
0,Horticulture,Science Citation Index,N/A,7.23.06,Horticulture
0,Imaging Science & Photographic Technology,Science Citation Index,N/A,5.00.00,Engineering
0,Immunology,Science Citation Index,N/A,7.14.00,Immunology and Infectious Disease
0,Infectious Diseases,Science Citation Index,N/A,7.14.02,Immunology of Infectious Disease
0,Instruments & Instrumentation,Science Citation Index,N/A,9.02.03,Instrumentation
0,Integrative & Complementary Medicine,Science Citation Index,N/A,8.01.01,Alternative and Complementary Medicine
0,Limnology,Science Citation Index,N/A,9.08.03,Fresh Water Studies
0,Logic,Science Citation Index,N/A,9.07.08,Logic and Foundations
0,Marine & Freshwater Biology,Science Citation Index,N/A,7.17.01,Marine Biology
0,"Materials Science, Biomaterials",Science Citation Index,N/A,5.13.01,Biology and Biomimetic Materials
0,"Materials Science, Ceramics",Science Citation Index,N/A,5.13.02,Ceramic Materials
0,"Materials Science, Characterization & Testing",Science Citation Index,N/A,5.13.07,Other Materials Science and Engineering
0,"Materials Science, Coatings & Films",Science Citation Index,N/A,5.13.07,Other Materials Science and Engineering
0,"Materials Science, Composites",Science Citation Index,N/A,5.13.07,Other Materials Science and Engineering
0,"Materials Science, Multidisciplinary",Science Citation Index,N/A,5.13.00,Materials Science and Engineering
0,"Materials Science, Paper & Wood",Science Citation Index,N/A,7.12.03,"Wood Science and Pulp, Paper Technology"
0,"Materials Science, Textiles",Science Citation Index,N/A,5.13.07,Other Materials Science and Engineering
0,Mathematical & Computational Biology,Science Citation Index,N/A,7.13.01,Computational Biology
0,Mathematics,Science Citation Index,N/A,9.07.00,Mathematics
0,"Mathematics, Applied",Science Citation Index,N/A,9.01.00,Applied Mathematics
0,"Mathematics, Interdisciplinary Applications",Science Citation Index,N/A,9.01.00,Applied Mathematics
0,Mechanics,Science Citation Index,N/A,5.12.02,Engineering Mechanics
0,Medical Ethics,Science Citation Index,N/A,8.04.01,Bioethics and Medical Ethics
